n,r,m
"(:Resource:owl__Class {rdfs__comment: 控制整體曲面輪廓偏差之公差。公差區域限制在以直徑為t之球所形成之兩包絡面之間,各球心均位於一真確幾何形狀之曲面上。,rdfs__label: ProfileOfSurfaceTolerance,uri: 面輪廓度公差})",[:owl__disjointWith],"(:Resource:owl__Class {rdfs__comment: 控制單一截面輪廓形狀偏差之公差。公差區域限制在以直徑為t之圓所形成之兩包絡線之間,各圓之圓心均位於一真確幾何形狀之曲線上。,rdfs__label: ProfileOfLineTolerance,uri: 線輪廓度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制整體曲面輪廓偏差之公差。公差區域限制在以直徑為t之球所形成之兩包絡面之間,各球心均位於一真確幾何形狀之曲面上。,rdfs__label: ProfileOfSurfaceTolerance,uri: 面輪廓度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制線或曲面輪廓偏差之公差。,rdfs__label: ProfileTolerance,uri: 輪廓類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制圓柱或孔直徑允許變動範圍。,rdfs__label: DiameterTolerance(Dia),uri: 直徑公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制圓柱或孔直徑允許變動範圍。,rdfs__label: DiameterTolerance(Dia),uri: 直徑公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制兩圓柱或圓形特徵中心軸線一致程度。公差區域限制在一個直徑為t,且圓心與基準點重合之圓內。,rdfs__label: ConcentricityTolerance(Con),uri: 同心度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制兩圓柱或圓形特徵中心軸線一致程度。公差區域限制在一個直徑為t,且圓心與基準點重合之圓內。,rdfs__label: ConcentricityTolerance(Con),uri: 同心度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 限制受測特徵（點、線、面）相對於基準在理想位置上變動量的一類幾何公差。包含位置度、同心度、對稱度及距離公差。,rdfs__label: UpperDeviation,uri: 位置類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制圓柱面形狀偏差之公差。公差區域限制在相距t之兩同軸線圓柱面之間。,rdfs__label: CylindricityTolerance(Cyl),uri: 圓柱度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制圓柱面形狀偏差之公差。公差區域限制在相距t之兩同軸線圓柱面之間。,rdfs__label: CylindricityTolerance(Cyl),uri: 圓柱度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之垂直程度。公差區域限制在相距t且垂直於基準線/面之兩平行平面之間。,rdfs__label: PerpendicularityTolerance(Per),uri: 垂直度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之垂直程度。公差區域限制在相距t且垂直於基準線/面之兩平行平面之間。,rdfs__label: PerpendicularityTolerance(Per),uri: 垂直度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})"
