n,r,m
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 編碼器心軸-Dis-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 編碼器心軸-Dis-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 編碼器心軸-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 編碼器心軸-Par-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 分流座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 分流座-Dia-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 分流座-Dia-4})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-3}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 分流座-Dia-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 分流座-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 分流座-Par-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達座-S-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 馬達座-Dia-3})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 馬達座-Dia-6})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 馬達座-Fla-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-5}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 馬達座-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 馬達座-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 馬達座-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-5}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 馬達座-Par-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 編碼器-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
