n,r,m
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 編碼器-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 編碼器-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 轉動軸-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
